LURN_SAK,Incident Date,Incident Reported Date,Category,Stat Code,Stat Code Desc,Address,Street,City,Zip,Incident ID,Reporting District,Sequential (per Station),Gang Related,Unit ID,Unit Name,Longitude,Latitude,Part Category,OBJECTID,x,y
20217796,5/3/2023 1:30:00 AM,5/3/2023 12:00:00 AM,LARCENY THEFT,340,VEHICLE BURGLARY: Auto/Passenger Van Burglary,"1700 KANOLA RD, LA HABRA HEIGHTS, CA",1700 KANOLA RD,LA HABRA HEIGHTS,,923-04584-1451,1451,4584,NO,CA0190014,INDUSTRY,-117.9310867,33.95990336,1,8699,-13128028.53,4023419.296
20134085,1/21/2023 3:30:00 PM,1/21/2023 12:00:00 AM,AGGRAVATED ASSAULT,50,"ASSAULT, AGGRAVATED: DOMESTIC VIOLENCE","1200 E 75TH ST, LOS ANGELES, CA 90001",1200 E 75TH ST,LOS ANGELES,90001,023-01070-2172,2172,1070,NO,CA01900V3,CENTURY,-118.2519854,33.97200481,1,8700,-13163750.8,4025043.575
20216912,5/2/2023 12:00:00 PM,5/2/2023 12:00:00 AM,LARCENY THEFT,82,GRAND THEFT: Purse Snatch,"27000 MCBEAN PKWY, VALENCIA, CA",27000 MCBEAN PKWY,VALENCIA,,923-06116-0642,642,6116,NO,CA0190006,SANTA CLARITA VALLEY,-118.5640733,34.42185794,1,8701,-13198492.27,4085588.881
20217047,5/2/2023 4:25:00 PM,5/2/2023 12:00:00 AM,LARCENY THEFT,340,VEHICLE BURGLARY: Auto/Passenger Van Burglary,"17500 CASTLETON ST, INDUSTRY, CA 91744",17500 CASTLETON ST,INDUSTRY,91744,923-04569-1416,1416,4569,NO,CA0190014,INDUSTRY,-117.923027,33.991896,1,8702,-13127131.31,4027713.909
20213561,4/28/2023 6:51:00 AM,4/28/2023 12:00:00 AM,LARCENY THEFT,85,GRAND THEFT: Auto Parts And Accessories,"12400 ROSECRANS AVE, NORWALK, CA 90650",12400 ROSECRANS AVE,NORWALK,90650,923-05018-0454,454,5018,NO,CA0190004,NORWALK,-118.0697691,33.90312685,1,8703,-13143466.58,4015801.734
20240667,5/30/2023 9:18:00 AM,5/30/2023 12:00:00 AM,VEHICLE / BOATING LAWS,255,VEHICLE AND BOATING LAWS: Misdemeanor,"21400 PACIFIC COAST HWY, MALIBU, CA",21400 PACIFIC COAST HWY,MALIBU,,923-02562-1017,1017,2562,NO,CA0190022,MALIBU/LOST HILLS,-118.6417299,34.03799866,2,8704,-13207136.96,4033905.46
20348080,9/29/2023 10:00:00 AM,9/29/2023 12:00:00 AM,VANDALISM,264,VANDALISM: Graffiti/Tagging,"5800 FULTON AVE, VALLEY GLEN, CA 91401",5800 FULTON AVE,VALLEY GLEN,91401,923-01056-8745,8745,1056,NO,CA01900R5,COMMUNITY COLLEGE BUREAU,-118.4225248,34.17500468,2,8705,-13182735.16,4052325.155
20325868,9/1/2023 10:19:00 PM,9/1/2023 12:00:00 AM,CRIMINAL HOMICIDE,11,"HOMICIDE, CRIMINAL / NON-CRIMINAL","CALDWELL ST AND WHITEMARSH AVE, COMPTON, CA 90220",CALDWELL ST AND WHITEMARSH AVE,COMPTON,90220,023-11799-2833,2833,11799,YES,CA0190042,COMPTON,-118.2372248,33.88299565,1,8706,-13162107.66,4013102
20342900,9/22/2023 7:30:00 PM,9/22/2023 12:00:00 AM,AGGRAVATED ASSAULT,53,"ASSAULT, AGGRAVATED: ADW - OTHER DANGEROUS WEAPON","14200 KEESE ST, WHITTIER, CA 90604",14200 KEESE ST,WHITTIER,90604,023-11218-0495,495,11218,NO,CA0190004,NORWALK,-118.0267055,33.91900652,1,8707,-13138672.75,4017931.758
20355653,10/8/2023 11:56:46 AM,10/8/2023 12:00:00 AM,GRAND THEFT AUTO,91,GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van,"1100 S APRILLA AVE, COMPTON, CA",1100 S APRILLA AVE,COMPTON,,923-13245-2831,2831,13245,NO,CA0190042,COMPTON,-118.2528784,33.88379252,1,8708,-13163850.21,4013208.854
20261354,6/23/2023 10:15:00 AM,6/23/2023 12:00:00 AM,NARCOTICS,188,NARCOTICS: Marijuana Misdemeanors (More Than 1 oz),"900 S VANCOUVER AVE, LOS ANGELES, CA 90022",900 S VANCOUVER AVE,LOS ANGELES,90022,023-00554-3680,3680,554,NO,CA0190036,NARCOTICS BUREAU,-118.1600038,34.02000313,2,8709,-13153511.45,4031488.274
20324612,8/31/2023 2:27:00 PM,8/31/2023 12:00:00 AM,VEHICLE / BOATING LAWS,250,"VEHICLE AND BOATING LAWS: Hit And Run, Misdemeanor","5300 CHESEBRO RD, AGOURA HILLS, CA",5300 CHESEBRO RD,AGOURA HILLS,,923-04610-2222,2222,4610,NO,CA0190022,MALIBU/LOST HILLS,-118.7381394,34.14491902,2,8710,-13217869.21,4048277.748
20356608,10/9/2023 3:10:00 PM,10/9/2023 12:00:00 AM,LARCENY THEFT,340,VEHICLE BURGLARY: Auto/Passenger Van Burglary,"28900 S WESTERN AVE, RANCHO PALOS VERDES, CA 90275",28900 S WESTERN AVE,RANCHO PALOS VERDES,90275,923-03295-1746,1746,3295,NO,CA0190017,LOMITA,-118.3099817,33.75601851,1,8711,-13170206.92,3996088.132
20357794,10/10/2023 10:30:00 PM,10/11/2023 12:00:00 AM,GRAND THEFT AUTO,93,"GRAND THEFT VEHICLE (GTA): Truck, Motor Home, Cargo Van","10100 LAUREL AVE, WHITTIER, CA",10100 LAUREL AVE,WHITTIER,,923-11960-0491,491,11960,NO,CA0190004,NORWALK,-118.0465055,33.94200173,1,8712,-13140876.88,4021016.931
20125356,1/11/2023 3:15:00 AM,1/11/2023 12:00:00 AM,LARCENY THEFT,85,GRAND THEFT: Auto Parts And Accessories,"3300 GLENROSE AVE, ALTADENA, CA",3300 GLENROSE AVE,ALTADENA,,923-80002-0771,771,80002,NO,CA0190007,ALTADENA,-118.147004,34.20202203,1,8713,-13152064.32,4055961.014
20153930,2/14/2023 4:13:00 AM,2/14/2023 12:00:00 AM,LARCENY THEFT,342,VEHICLE BURGLARY: Truck/Cargo Van Burglary,"300 S CHERYL LN, INDUSTRY, CA",300 S CHERYL LN,INDUSTRY,,923-01657-1419,1419,1657,NO,CA0190014,INDUSTRY,-117.8469995,34.01459516,1,8714,-13118667.98,4030761.968
20279142,7/11/2023 11:45:00 AM,7/11/2023 12:00:00 AM,VANDALISM,261,VANDALISM MISD,"1800 62ND ST, LOS ANGELES, CA",1800 62ND ST,LOS ANGELES,,923-09786-2171,2171,9786,NO,CA01900V3,CENTURY,-118.240013,33.98292533,2,8715,-13162418.03,4026509.545
20147057,2/6/2023 7:52:00 AM,2/6/2023 12:00:00 AM,VEHICLE / BOATING LAWS,255,VEHICLE AND BOATING LAWS: Misdemeanor,"8400 GARVEY AVE, ROSEMEAD, CA 91770",8400 GARVEY AVE,ROSEMEAD,91770,923-01451-0533,533,1451,NO,CA0190005,TEMPLE,-118.0830053,34.06265992,2,8716,-13144940.02,4037218.829
20228258,5/15/2023 12:26:32 PM,5/15/2023 12:00:00 AM,NARCOTICS,184,Felony Possession of a Controlled Substance (excluding Marijuana),"94TH ST AND VERMONT AVE, LOS ANGELES, CA",94TH ST AND VERMONT AVE,LOS ANGELES,,923-04047-0370,370,4047,NO,CA0190003,SOUTH LOS ANGELES,-118.2910126,33.95007828,2,8717,-13168095.28,4022100.726
20158451,1/30/2023 8:00:00 AM,2/19/2023 12:00:00 AM,FRAUD AND NSF CHECKS,112,FRAUD: Fraud By False Pretenses,"5000 W 112TH ST, INGLEWOOD, CA",5000 W 112TH ST,INGLEWOOD,,923-01538-0382,382,1538,NO,CA0190003,SOUTH LOS ANGELES,-118.3651426,33.93229726,2,8718,-13176347.4,4019714.821
20152222,2/10/2023 1:50:00 PM,2/11/2023 12:00:00 AM,FORGERY,105,WORTHLESS DOCUMENTS/FORGERY: Forgery - Credit Cards/Sales Slips,"39700 10TH ST W, PALMDALE, CA",39700 10TH ST W,PALMDALE,,923-02055-2619,2619,2055,NO,CA01900W9,PALMDALE,-118.1477129,34.60299873,2,8719,-13152143.24,4110060.283
20141887,1/30/2023 12:22:30 PM,1/31/2023 12:00:00 AM,GRAND THEFT AUTO,91,GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van,"12500 VOLUNTEER AVE, NORWALK, CA",12500 VOLUNTEER AVE,NORWALK,,923-01289-0452,452,1289,NO,CA0190004,NORWALK,-118.0680129,33.91708879,1,8720,-13143271.08,4017674.503
20229280,5/16/2023 12:50:00 PM,5/16/2023 12:00:00 AM,LARCENY THEFT,87,"GRAND THEFT: From Bldg(Churches, Schools, Restaurants, Offices, Etc)","400 LOS CERRITOS CTR, CERRITOS, CA",400 LOS CERRITOS CTR,CERRITOS,,923-02011-2311,2311,2011,NO,CA01900R7,CERRITOS,-118.0923692,33.86095327,1,8721,-13145982.4,4010146.694
20141686,1/31/2023 3:30:00 AM,1/31/2023 12:00:00 AM,GRAND THEFT AUTO,91,GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van,"11200 ALBURTIS AVE, NORWALK, CA",11200 ALBURTIS AVE,NORWALK,,923-01278-0451,451,1278,NO,CA0190004,NORWALK,-118.082993,33.92902822,1,8722,-13144938.66,4019276.227
20147268,2/6/2023 2:30:00 AM,2/6/2023 12:00:00 AM,GRAND THEFT AUTO,91,GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van,"500 DUNSVIEW AVE, LA PUENTE, CA",500 DUNSVIEW AVE,LA PUENTE,,923-01355-1441,1441,1355,NO,CA0190014,INDUSTRY,-117.9219795,34.02705208,1,8723,-13127014.71,4032435.038
20162312,2/24/2023 6:56:48 AM,2/24/2023 12:00:00 AM,BURGLARY,77,"BURGLARY, OTHER STRUCTURE: Unknown, Entry By Force","900 S LONG BEACH BLVD, COMPTON, CA",900 S LONG BEACH BLVD,COMPTON,,923-02679-2844,2844,2679,NO,CA0190042,COMPTON,-118.2060244,33.88800429,1,8724,-13158634.45,4013773.634
20153254,2/13/2023 10:43:18 AM,2/13/2023 12:00:00 AM,BURGLARY,68,"BURGLARY, RESIDENCE: Unknown, Entry No Force","1000 S AMANTHA AVE, COMPTON, CA",1000 S AMANTHA AVE,COMPTON,,923-02149-2831,2831,2149,NO,CA0190042,COMPTON,-118.2501039,33.88599012,1,8725,-13163541.35,4013503.54
20144746,2/3/2023 1:30:00 AM,2/3/2023 12:00:00 AM,GRAND THEFT AUTO,91,GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van,"5100 LINDSEY AVE, PICO RIVERA, CA 90660",5100 LINDSEY AVE,PICO RIVERA,90660,923-00774-1514,1514,774,NO,CA0190015,PICO RIVERA,-118.0809797,33.99806169,1,8726,-13144714.53,4028541.762
20162484,2/24/2023 11:26:01 AM,2/24/2023 12:00:00 AM,BURGLARY,77,"BURGLARY, OTHER STRUCTURE: Unknown, Entry By Force","200 E ALONDRA BLVD, GARDENA, CA",200 E ALONDRA BLVD,GARDENA,,923-02686-2871,2871,2686,NO,CA0190042,COMPTON,-118.2737698,33.88498372,1,8727,-13166175.83,4013368.586
20155260,2/15/2023 3:00:00 PM,2/15/2023 12:00:00 AM,LARCENY THEFT,85,GRAND THEFT: Auto Parts And Accessories,"100 CITADEL DR, COMMERCE, CA 90040",100 CITADEL DR,COMMERCE,90040,923-02245-0245,245,2245,NO,CA0190002,EAST LOS ANGELES,-118.1521962,34.00517325,1,8728,-13152642.32,4029496.689
20152672,2/12/2023 1:23:04 PM,2/12/2023 12:00:00 AM,GRAND THEFT AUTO,91,GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van,"14400 S CAIRN AVE, GARDENA, CA",14400 S CAIRN AVE,GARDENA,,923-02116-2872,2872,2116,NO,CA0190042,COMPTON,-118.2580612,33.90099683,1,8729,-13164427.15,4015516.054
20304296,8/10/2023 5:15:00 AM,8/10/2023 12:00:00 AM,GRAND THEFT AUTO,91,GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van,"8400 SHERIDELL AVE, PICO RIVERA, CA 90660",8400 SHERIDELL AVE,PICO RIVERA,90660,923-04669-1518,1518,4669,NO,CA0190015,PICO RIVERA,-118.1050895,33.961032,1,8730,-13147398.43,4023570.775
20193725,4/4/2023 7:15:00 AM,4/4/2023 12:00:00 AM,ROBBERY,38,"ROBBERY, WEAPON: Carjacking","66TH ST AND WILMINGTON AVE, LOS ANGELES, CA",66TH ST AND WILMINGTON AVE,LOS ANGELES,,923-04661-2171,2171,4661,NO,CA01900V3,CENTURY,-118.2378292,33.97885485,1,8731,-13162174.94,4025963.102
